Forecasting Horizon,Flu Season,Period,MAE
7,2014-2015,2014-09-01 - 2014-12-01,1.1791290764705884
7,2014-2015,2014-12-02 - 2015-01-20,2.04201627
7,2014-2015,2015-01-21 - 2015-08-31,1.1985244705829596
7,2015-2016,2015-09-01 - 2015-12-30,1.0510114140495868
7,2015-2016,2015-12-31 - 2016-03-24,3.6967822576470586
7,2015-2016,2016-03-25 - 2016-08-31,0.7450978389999999
7,2016-2017,2016-09-01 - 2016-12-01,0.875325265652174
7,2016-2017,2016-12-02 - 2017-01-30,3.853019568333333
7,2016-2017,2017-01-31 - 2017-08-31,2.678791709859155
7,2017-2018,2017-09-01 - 2017-12-30,1.3659740966942147
7,2017-2018,2017-12-31 - 2018-02-08,10.201575375000001
7,2017-2018,2018-02-09 - 2018-08-31,1.210088298627451
7,2018-2019,2018-09-01 - 2018-12-28,0.8690094529411766
7,2018-2019,2018-12-29 - 2019-02-18,2.7546936250000007
7,2018-2019,2019-02-19 - 2019-08-31,1.591702401030928
14,2014-2015,2014-09-01 - 2014-12-01,1.2184515602564103
14,2014-2015,2014-12-02 - 2015-01-20,4.165430264
14,2014-2015,2015-01-21 - 2015-08-31,1.432306365426009
14,2015-2016,2015-09-01 - 2015-12-30,1.068897225123967
14,2015-2016,2015-12-31 - 2016-03-24,4.730281064705883
14,2015-2016,2016-03-25 - 2016-08-31,0.9215017889375
14,2016-2017,2016-09-01 - 2016-12-01,0.8606440586956521
14,2016-2017,2016-12-02 - 2017-01-30,3.1172136633333327
14,2016-2017,2017-01-31 - 2017-08-31,2.7091708164319246
14,2017-2018,2017-09-01 - 2017-12-30,1.8406346396694213
14,2017-2018,2017-12-31 - 2018-02-08,16.14886535
14,2017-2018,2018-02-09 - 2018-08-31,1.2343619699509805
14,2018-2019,2018-09-01 - 2018-12-28,0.9717951783193277
14,2018-2019,2018-12-29 - 2019-02-18,3.132780807692307
14,2018-2019,2019-02-19 - 2019-08-31,2.213488675773196
21,2014-2015,2014-09-01 - 2014-12-01,1.7455830507042254
21,2014-2015,2014-12-02 - 2015-01-20,5.843490651999999
21,2014-2015,2015-01-21 - 2015-08-31,1.3514258466367715
21,2015-2016,2015-09-01 - 2015-12-30,1.2284073983471075
21,2015-2016,2015-12-31 - 2016-03-24,6.012998640000001
21,2015-2016,2016-03-25 - 2016-08-31,1.1311644945000001
21,2016-2017,2016-09-01 - 2016-12-01,1.1574852195652177
21,2016-2017,2016-12-02 - 2017-01-30,3.2814310533333337
21,2016-2017,2017-01-31 - 2017-08-31,3.819970434741784
21,2017-2018,2017-09-01 - 2017-12-30,2.324695488429752
21,2017-2018,2017-12-31 - 2018-02-08,18.845084300000003
21,2017-2018,2018-02-09 - 2018-08-31,1.1543569811274512
21,2018-2019,2018-09-01 - 2018-12-28,1.0337585050420166
21,2018-2019,2018-12-29 - 2019-02-18,3.6795079519230764
21,2018-2019,2019-02-19 - 2019-08-31,2.688524984020619
28,2014-2015,2014-09-01 - 2014-12-01,1.9958098781249998
28,2014-2015,2014-12-02 - 2015-01-20,6.867305663999999
28,2014-2015,2015-01-21 - 2015-08-31,1.5619358560538115
28,2015-2016,2015-09-01 - 2015-12-30,1.435262911570248
28,2015-2016,2015-12-31 - 2016-03-24,6.818363312941177
28,2015-2016,2016-03-25 - 2016-08-31,1.3242422550625002
28,2016-2017,2016-09-01 - 2016-12-01,1.2904859315217387
28,2016-2017,2016-12-02 - 2017-01-30,2.7283157133333344
28,2016-2017,2017-01-31 - 2017-08-31,4.491278770892018
28,2017-2018,2017-09-01 - 2017-12-30,2.5230029851239673
28,2017-2018,2017-12-31 - 2018-02-08,23.9035173375
28,2017-2018,2018-02-09 - 2018-08-31,1.1249765957843136
28,2018-2019,2018-09-01 - 2018-12-28,1.2180296591596644
28,2018-2019,2018-12-29 - 2019-02-18,3.71802110576923
28,2018-2019,2019-02-19 - 2019-08-31,2.3862473515463916
