Flu Season,Period,MAE
2014-2015,2014-09-01 - 2014-12-01,1.3501279108695652
2014-2015,2014-12-02 - 2015-01-20,2.49567592
2014-2015,2015-01-21 - 2015-08-31,0.8783811093273544
2015-2016,2015-09-01 - 2015-12-30,1.0455643347107437
2015-2016,2015-12-31 - 2016-03-24,2.4968608752941175
2015-2016,2016-03-25 - 2016-08-31,0.6937716570625
2016-2017,2016-09-01 - 2016-12-01,0.8332122891304349
2016-2017,2016-12-02 - 2017-01-30,4.307620623333333
2016-2017,2017-01-31 - 2017-08-31,1.9424332079812203
2017-2018,2017-09-01 - 2017-12-30,1.3472868305785126
2017-2018,2017-12-31 - 2018-02-08,4.74196925
2017-2018,2018-02-09 - 2018-08-31,1.2494388284803921
2018-2019,2018-09-01 - 2018-12-28,0.7234213336134454
2018-2019,2018-12-29 - 2019-02-18,1.8252439615384617
2018-2019,2019-02-19 - 2019-08-31,1.5653074097938144
